timeMillis,boost,rpm,fuelTrim,fuelPressure,coolant,load,speed,throttle,timing
1777642526097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642526298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642526499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642526700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642526901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642527101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642527302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642527502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642527703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642527905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642528105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642528307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642528508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642528708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642528909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642529111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642529311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642529513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642529714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642529914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642530114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642530315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642530516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642530717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642530918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642531118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642531318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642531519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642531720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642531920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642532121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642532322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642532524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642532724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642532925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642533126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642533327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642533527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642533728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642533929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642534131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642534332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642534533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642534734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642534935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642535135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642535335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642535535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642535736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642535937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642536137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642536338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642536538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642536739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642536939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642537140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642537341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642537541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642537743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642537943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642538144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642538344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642538545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642538745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642538945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642539146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642539346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642539547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642539748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642539948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642540149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642540350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642540550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
